Sample	Variable	SCFA_1	Lactic_acid	SCFA_2	Acetic_acid	SCFA_3	SCFA_4	SCFA_5	Butyric_acid	Iso_valeric_acid
T0A	ret_time	8.957			14.957	17.382	18.757		21.565	24.757
T0A	amount				4.9588				0.4709	0.1872
T0A	mAUxMin	2.1781			5.6735	11.2207	0.6562		0.7188	0.3373
T1A	ret_time	8.94			14.957	17.374	18.757		21.582	24.748
T1A	amount				6.3484				0.4287	0.2097
T1A	mAUxMin	2.7323			7.2634	11.08	2.3551		0.6543	0.3779
T2A	ret_time	8.948	12.507	13.498	14.957	17.373	18.757	19.857	21.557	
T2A	amount		0.5097		11.6897			0.0781	0.438	
T2A	mAUxMin	11.361	2.0663	11.6363	13.3746	15.2049	14.0685	0.1601	0.6686	
T3A	ret_time	8.957	12.498	13.49	14.957	17.365	18.757		21.598	
T3A	amount		2.7622		18.748				0.7437	
T3A	mAUxMin	21.2973	11.1971	36.1084	21.4502	14.3764	7.9236		1.1352	
T4A	ret_time	8.94	12.49	13.49	14.957	17.373	18.757	19.923	21.59	
T4A	amount		5.2759		31.587			1.0769	1.5852	
T4A	mAUxMin	3.2977	21.3867	40.1642	36.1397	18.2932	9.6567	2.206	2.4196	
T5A	ret_time	8.94	12.49	13.482	14.957	17.365	18.748	19.932	21.59	
T5A	amount		7.415		26.8754			0.943	1.2086	
T5A	mAUxMin	3.615	30.0578	44.0676	30.7491	15.5408	11.5719	1.9317	1.8449	
T6A	ret_time	8.74	12.465	13.307	14.94	17.198	18.748	19.882	21.532	
T6A	amount		9.1971		41.39			0.3058	0.1791	
T6A	mAUxMin	2.1312	37.2823	50.6824	47.3557	15.3511	13.7112	0.6264	0.2733	
T7A	ret_time	8.932	12.49	13.482	14.948	17.373	18.748	19.882	21.573	
T7A	amount		8.857		39.3217			0.2812	0.319	
T7A	mAUxMin	0.0901	35.9034	48.8023	44.9893	15.0791	15.2344	0.576	0.4869	
T8A	ret_time	8.932	12.49	13.482	14.948	17.373	18.748	19.882	21.582	
T8A	amount		9.0612		43.2111			1.0063	1.1937	
T8A	mAUxMin	0.0847	36.7312	53.734	49.4392	16.6132	19.4931	2.0613	1.822	
T0B	ret_time	8.948			14.948	17.365	18.748		21.54	
T0B	amount				5.1529				0.4577	
T0B	mAUxMin	1.5649			5.8956	11.1212	0.4727		0.6987	
T1B	ret_time	8.94			14.948	17.365	18.748		21.557	
T1B	amount				6.3114				0.4663	
T1B	mAUxMin	2.8222			7.221	10.4264	3.0538		0.7117	
T2B	ret_time	8.949	12.498	13.498	14.948	17.365	18.748		21.548	
T2B	amount		0.7353		11.2067				0.4509	
T2B	mAUxMin	15.151	2.9805	14.9384	12.8219	12.9294	12.8395		0.6883	
T3B	ret_time	8.965	12.49	13.49	14.948	17.357	18.748	19.823	21.59	
T3B	amount		3.0094		22.2555			0.3173	0.6353	
T3B	mAUxMin	27.7817	12.1991	38.7179	25.4633	14.9852	9.1233	0.6501	0.9696	
T4B	ret_time	8.94	12.49	13.482	14.948	17.365	18.748	19.898	21.59	
T4B	amount		5.4802		29.6643			0.7434	1.6349	
T4B	mAUxMin	7.3409	22.215	43.3995	33.9399	15.2572	9.1551	1.5229	2.4954	
T5B	ret_time	8.932	12.482	13.473	14.948	17.357	18.74	19.898	21.582	
T5B	amount		7.4886		32.8155			1.2427	1.522	
T5B	mAUxMin	0.109	30.3562	40.5905	37.5453	20.638	12.4182	2.5457	2.3232	
T6B	ret_time	8.707	12.457	13.29	14.932	17.19	18.74	19.865	21.557	
T6B	amount		9.1675		40.9532			0.6259	0.3289	
T6B	mAUxMin	1.535	37.162	50.8646	46.8559	20.0795	16.6799	1.2822	0.502	
T7B	ret_time	8.94	12.49	13.482	14.948	17.357	18.74	19.882	21.573	
T7B	amount		9.0079		31.9749			0.8787	1.0373	
T7B	mAUxMin	0.0932	36.5151	49.5531	36.5836	16.9006	16.106	1.7999	1.5833	
T8B	ret_time		12.457	13.29	14.94	17.19	18.74	19.857	21.548	
T8B	amount		9.172		44.3259			1.1835	0.6771	
T8B	mAUxMin		37.1802	54.022	50.7147	17.2707	19.6866	2.4243	1.0335	
T0C	ret_time	8.723	14.94			17.19	18.74		21.54	
T0C	amount		6.6756						1.0569	
T0C	mAUxMin	1.4652	7.6377			14.3838	1.5252		1.6133	
T1C	ret_time	8.723	14.932			17.19	18.748		21.54	
T1C	amount		7.1334						1.1152	
T1C	mAUxMin	2.2517	8.1615			12.4122	6.2303		1.7023	
T2C	ret_time	8.74	12.473	13.29	14.94	17.19	18.74	19.448	21.532	
T2C	amount		0.8189		11.8089			0.395	0.5503	
T2C	mAUxMin	14.0854	3.3197	14.6951	13.511	13.4113	12.0499	0.8092	0.84	
T3C	ret_time	8.74	12.465	13.29	14.94	17.19	18.74	19.84	21.548	
T3C	amount		3.0116		21.5138			0.5554	1.2393	
T3C	mAUxMin	24.7781	12.208	36.0101	24.6147	15.6593	10.077	1.1378	1.8917	
T4C	ret_time	8.723	12.457	13.29	14.94	17.19	18.74	19.865	21.573	
T4C	amount		4.6244		29.1969			0.8851	0.7477	
T4C	mAUxMin	4.5873	18.7457	38.2754	33.4051	15.8003	9.9142	1.813	1.1413	
T5C	ret_time	8.699	12.457	13.29	14.94	17.19	18.749	19.873	21.565	
T5C	amount		6.8567		34.924			0.8995	0.7836	
T5C	mAUxMin	2.042	27.7948	35.8567	39.9577	17.7075	11.8154	1.8426	1.196	
T6C	ret_time	8.715	12.465	13.298	14.94	17.198	18.74	19.873	21.548	
T6C	amount		8.7493		36.9773			0.2579	0.3688	
T6C	mAUxMin	1.8331	35.4667	47.58	42.307	15.3496	13.4995	0.5282	0.563	
T7C	ret_time	8.699	12.457	13.29	14.94	17.19	18.74	19.84	21.565	
T7C	amount		2.6521		29.1861			1.5209	2.2049	
T7C	mAUxMin	1.5242	10.7508	9.4776	33.3928	18.7692	25.5549	3.1154	3.3656	
T8C	ret_time	8.707	12.457	13.29	14.94	17.19	18.74	19.857	21.54	
T8C	amount		9.3035		47.0246			2.0247	1.6962	
T8C	mAUxMin	1.8225	37.7135	57.2864	53.8024	22.4407	21.0726	4.1475	2.5891	

